Timestamp,Event,Confidence,Frame,FPS
2026-02-15 10:33:57.486,PERSON_DETECTED,0.496,257,2.0
2026-02-15 10:33:59.699,PERSON_GONE,0.000,261,2.0
2026-02-15 10:37:00.980,PERSON_DETECTED,0.500,563,2.0
2026-02-15 10:37:02.329,PERSON_GONE,0.000,566,2.0
2026-02-15 10:37:04.639,PERSON_DETECTED,0.763,570,2.0
2026-02-15 10:37:06.195,PERSON_GONE,0.000,573,1.9
2026-02-15 10:37:09.466,PERSON_DETECTED,0.619,579,1.8
2026-02-15 11:13:07.208,PERSON_DETECTED,0.749,122,1.6
2026-02-15 11:13:21.063,PERSON_GONE,0.000,148,1.9
2026-02-15 11:13:22.565,PERSON_DETECTED,0.694,150,1.9
2026-02-15 11:13:25.715,PERSON_GONE,0.000,155,1.8
2026-02-15 11:13:28.917,PERSON_DETECTED,0.756,162,1.9
2026-02-15 11:13:29.636,PERSON_GONE,0.000,163,1.9
2026-02-15 11:13:37.634,PERSON_DETECTED,0.629,176,1.7
2026-02-15 11:13:38.470,PERSON_GONE,0.000,177,1.7
2026-02-15 11:14:13.685,PERSON_DETECTED,0.600,250,2.0
2026-02-15 11:14:14.486,PERSON_GONE,0.000,251,2.0
2026-02-15 11:14:20.425,PERSON_DETECTED,0.641,259,1.7
2026-02-15 11:14:22.384,PERSON_GONE,0.000,262,1.7
2026-02-15 11:14:23.910,PERSON_DETECTED,0.482,263,1.5
2026-02-15 11:14:24.420,PERSON_GONE,0.000,264,1.5
2026-02-15 11:14:33.636,PERSON_DETECTED,0.644,278,1.4
2026-02-15 11:14:34.396,PERSON_GONE,0.000,279,1.4
2026-02-15 11:19:20.347,PERSON_DETECTED,0.513,12,1.3
2026-02-15 11:19:22.099,PERSON_GONE,0.000,13,1.1
2026-02-15 11:19:28.440,PERSON_DETECTED,0.567,27,1.5
2026-02-15 11:19:31.664,PERSON_GONE,0.000,32,1.5
2026-02-15 11:19:33.168,PERSON_DETECTED,0.479,35,1.5
2026-02-15 11:19:34.801,PERSON_GONE,0.000,36,1.4
2026-02-15 11:33:21.277,PERSON_DETECTED,0.651,23,2.1
2026-02-15 11:33:21.989,PERSON_GONE,0.000,24,2.1
2026-02-15 11:33:31.371,PERSON_DETECTED,0.883,44,2.2
2026-02-15 11:33:37.517,PERSON_GONE,0.000,54,2.0
2026-02-15 11:34:02.015,PERSON_DETECTED,0.936,98,1.8
2026-02-15 11:34:04.765,PERSON_GONE,0.000,103,1.9
2026-02-15 11:34:14.192,PERSON_DETECTED,0.839,116,1.6
2026-02-15 11:34:16.543,PERSON_GONE,0.000,120,1.7
2026-02-15 11:35:50.238,PERSON_DETECTED,0.933,294,1.8
2026-02-15 11:35:52.085,PERSON_GONE,0.000,297,1.7
2026-02-15 11:35:59.351,PERSON_DETECTED,0.695,311,1.8
2026-02-15 11:36:04.461,PERSON_GONE,0.000,319,1.8
2026-02-15 11:36:07.368,PERSON_DETECTED,0.823,324,1.8
2026-02-15 11:36:07.955,PERSON_GONE,0.000,325,1.8
2026-02-15 11:36:08.567,PERSON_DETECTED,0.547,326,1.8
2026-02-15 11:36:11.542,PERSON_GONE,0.000,331,1.7
2026-02-15 11:36:21.163,PERSON_DETECTED,0.876,348,1.7
2026-02-15 11:36:25.039,PERSON_GONE,0.000,354,1.7
2026-02-15 11:36:34.613,PERSON_DETECTED,0.681,367,1.5
2026-02-15 11:36:36.625,PERSON_GONE,0.000,370,1.5
2026-02-15 11:36:39.808,PERSON_DETECTED,0.923,375,1.5
2026-02-15 11:36:40.418,PERSON_GONE,0.000,376,1.5
2026-02-15 11:36:47.386,PERSON_DETECTED,0.893,387,1.5
2026-02-15 11:36:51.775,PERSON_GONE,0.000,393,1.5
2026-02-15 11:36:52.395,PERSON_DETECTED,0.565,394,1.5
2026-02-15 11:36:53.143,PERSON_GONE,0.000,395,1.5
2026-02-15 11:36:55.774,PERSON_DETECTED,0.905,398,1.5
2026-02-15 11:36:56.499,PERSON_GONE,0.000,399,1.5
2026-02-15 11:36:57.135,PERSON_DETECTED,0.552,400,1.5
2026-02-15 11:36:57.724,PERSON_GONE,0.000,401,1.5
2026-02-15 11:37:00.593,PERSON_DETECTED,0.473,406,1.5
2026-02-15 11:37:01.202,PERSON_GONE,0.000,407,1.5
2026-02-15 11:37:04.683,PERSON_DETECTED,0.573,412,1.4
2026-02-15 11:37:08.881,PERSON_GONE,0.000,418,1.4
2026-02-15 11:37:22.589,PERSON_DETECTED,0.648,436,1.4
2026-02-15 11:37:28.541,PERSON_GONE,0.000,444,1.3
2026-02-15 11:38:11.959,PERSON_DETECTED,0.535,511,1.6
2026-02-15 11:38:12.471,PERSON_GONE,0.000,512,1.6
2026-02-15 11:38:21.383,PERSON_DETECTED,0.817,528,1.7
2026-02-15 11:38:36.842,PERSON_DETECTED,0.496,1,0.0
2026-02-15 11:38:37.475,PERSON_GONE,0.000,2,1.8
2026-02-15 11:38:37.867,PERSON_DETECTED,0.488,3,1.8
2026-02-15 11:38:38.308,PERSON_GONE,0.000,4,1.9
2026-02-15 11:38:53.401,PERSON_DETECTED,0.518,32,1.9
2026-02-15 11:38:55.007,PERSON_GONE,0.000,33,1.7
2026-02-15 11:38:57.649,PERSON_DETECTED,0.783,37,1.7
2026-02-15 11:39:10.654,PERSON_GONE,0.000,65,2.1
2026-02-15 11:39:11.355,PERSON_DETECTED,0.862,66,2.1
2026-02-15 11:39:12.161,PERSON_GONE,0.000,67,2.1
2026-02-15 11:39:12.904,PERSON_DETECTED,0.536,68,2.1
2026-02-15 11:39:13.880,PERSON_GONE,0.000,69,2.0
2026-02-15 11:44:17.534,PERSON_DETECTED,0.703,19,1.4
2026-02-15 11:44:19.397,PERSON_GONE,0.000,22,1.4
2026-02-15 11:44:43.273,PERSON_DETECTED,0.515,53,1.3
2026-02-15 11:44:45.640,PERSON_GONE,0.000,57,1.4
2026-02-15 11:44:46.403,PERSON_DETECTED,0.536,58,1.4
2026-02-15 11:44:46.978,PERSON_GONE,0.000,59,1.4
2026-02-15 11:44:47.528,PERSON_DETECTED,0.536,60,1.4
2026-02-15 11:44:56.307,PERSON_GONE,0.000,74,1.6
2026-02-15 11:44:57.292,PERSON_DETECTED,0.630,75,1.6
2026-02-15 11:45:03.750,PERSON_GONE,0.000,86,1.6
2026-02-15 11:45:04.319,PERSON_DETECTED,0.673,87,1.6
2026-02-15 11:45:04.932,PERSON_GONE,0.000,88,1.6
2026-02-15 11:46:10.775,PERSON_DETECTED,0.905,180,1.4
2026-02-15 11:46:14.328,PERSON_GONE,0.000,186,1.4
2026-02-15 11:46:15.086,PERSON_DETECTED,0.557,187,1.4
2026-02-15 11:46:15.684,PERSON_GONE,0.000,188,1.4
2026-02-15 11:46:28.820,PERSON_DETECTED,0.569,205,1.3
2026-02-15 11:46:30.074,PERSON_GONE,0.000,207,1.3
2026-02-15 11:46:45.272,PERSON_DETECTED,0.456,228,1.4
2026-02-15 11:46:45.765,PERSON_GONE,0.000,229,1.3
2026-02-15 11:46:49.383,PERSON_DETECTED,0.459,234,1.4
2026-02-15 11:46:50.017,PERSON_GONE,0.000,235,1.4
2026-02-15 11:46:54.515,PERSON_DETECTED,0.527,242,1.4
2026-02-15 11:46:56.364,PERSON_GONE,0.000,245,1.4
2026-02-15 11:46:56.976,PERSON_DETECTED,0.478,246,1.4
2026-02-15 11:46:57.536,PERSON_GONE,0.000,247,1.4
2026-02-15 11:47:05.470,PERSON_DETECTED,0.564,259,1.5
2026-02-15 11:47:08.542,PERSON_GONE,0.000,264,1.6
2026-02-15 11:47:09.247,PERSON_DETECTED,0.554,265,1.6
2026-02-15 11:47:10.376,PERSON_GONE,0.000,267,1.6
2026-02-15 11:47:11.101,PERSON_DETECTED,0.539,268,1.5
2026-02-15 11:47:11.769,PERSON_GONE,0.000,269,1.6
2026-02-15 11:47:12.528,PERSON_DETECTED,0.696,270,1.6
2026-02-15 11:47:21.532,PERSON_GONE,0.000,285,1.6
2026-02-15 11:47:23.682,PERSON_DETECTED,0.727,287,1.6
2026-02-15 11:47:24.811,PERSON_GONE,0.000,289,1.6
2026-02-15 11:47:25.429,PERSON_DETECTED,0.648,290,1.6
2026-02-15 11:47:26.066,PERSON_GONE,0.000,291,1.6
2026-02-15 11:47:26.665,PERSON_DETECTED,0.732,292,1.6
2026-02-15 11:47:28.492,PERSON_GONE,0.000,295,1.6
2026-02-15 11:47:35.358,PERSON_DETECTED,0.595,307,1.6
2026-02-15 11:47:36.613,PERSON_GONE,0.000,309,1.6
2026-02-15 11:47:37.199,PERSON_DETECTED,0.620,310,1.6
2026-02-15 11:47:39.027,PERSON_GONE,0.000,313,1.6
2026-02-15 11:47:44.708,PERSON_DETECTED,0.716,321,1.6
2026-02-15 11:47:45.487,PERSON_GONE,0.000,322,1.6
2026-02-15 11:47:48.772,PERSON_DETECTED,0.623,326,1.5
2026-02-15 11:47:50.035,PERSON_GONE,0.000,328,1.5
2026-02-15 11:47:54.301,PERSON_DETECTED,0.583,335,1.5
2026-02-15 11:47:56.200,PERSON_GONE,0.000,338,1.5
2026-02-15 11:47:57.078,PERSON_DETECTED,0.525,339,1.5
2026-02-15 11:47:57.676,PERSON_GONE,0.000,340,1.5
2026-02-15 11:48:03.347,PERSON_DETECTED,0.628,352,1.7
2026-02-15 11:48:04.235,PERSON_GONE,0.000,354,1.7
2026-02-15 12:07:00.903,PERSON_DETECTED,0.759,1465,1.4
2026-02-15 12:07:01.655,PERSON_GONE,0.000,1466,1.4
2026-02-15 12:07:03.652,PERSON_DETECTED,0.764,1469,1.4
2026-02-15 12:07:04.475,PERSON_GONE,0.000,1470,1.4
2026-02-15 12:07:05.287,PERSON_DETECTED,0.573,1471,1.4
2026-02-15 12:07:06.571,PERSON_GONE,0.000,1472,1.3
2026-02-15 12:07:10.934,PERSON_DETECTED,0.619,1476,1.2
2026-02-15 12:10:38.168,PERSON_DETECTED,0.539,139,1.0
2026-02-15 12:10:39.537,PERSON_GONE,0.000,140,1.0
2026-02-15 12:11:15.244,PERSON_DETECTED,0.762,165,0.7
2026-02-15 12:11:18.603,PERSON_GONE,0.000,168,0.7
2026-02-15 12:11:20.424,PERSON_DETECTED,0.637,170,0.7
2026-02-15 12:15:35.618,PERSON_DETECTED,0.510,101,0.9
2026-02-15 12:15:36.387,PERSON_GONE,0.000,102,0.9
2026-02-15 12:15:37.181,PERSON_DETECTED,0.751,103,0.9
2026-02-15 12:16:02.936,PERSON_GONE,0.000,106,0.5
2026-02-15 12:18:11.056,PERSON_DETECTED,0.476,75,0.8
2026-02-15 12:18:13.851,PERSON_GONE,0.000,77,0.8
2026-02-15 12:18:43.671,PERSON_DETECTED,0.473,99,0.7
2026-02-15 12:18:45.020,PERSON_GONE,0.000,100,0.7
2026-02-15 12:18:46.412,PERSON_DETECTED,0.721,101,0.7
2026-02-15 12:18:48.471,PERSON_GONE,0.000,103,0.7
2026-02-15 12:19:07.810,PERSON_DETECTED,0.686,121,0.9
2026-02-15 12:19:10.070,PERSON_GONE,0.000,124,0.9
2026-02-15 12:19:13.733,PERSON_DETECTED,0.502,127,1.0
2026-02-15 12:23:41.495,PERSON_DETECTED,0.724,108,0.5
2026-02-15 12:24:20.189,PERSON_DETECTED,0.874,1,0.0
2026-02-15 12:24:24.955,PERSON_GONE,0.000,5,0.8
2026-02-15 12:24:38.945,PERSON_DETECTED,0.931,13,0.6
2026-02-15 12:27:25.675,PERSON_DETECTED,0.524,6,1.2
2026-02-15 12:29:16.586,PERSON_DETECTED,0.614,9,0.9
2026-02-15 12:29:17.824,PERSON_GONE,0.000,10,0.9
2026-02-15 12:29:23.160,PERSON_DETECTED,0.572,16,1.0
2026-02-15 12:29:25.547,PERSON_GONE,0.000,19,1.0
2026-02-15 12:29:46.764,PERSON_DETECTED,0.584,40,1.1
2026-02-15 12:29:48.514,PERSON_GONE,0.000,42,1.0
2026-02-15 12:30:17.314,PERSON_DETECTED,0.539,70,1.0
2026-02-15 12:30:18.257,PERSON_GONE,0.000,71,1.0
2026-02-15 12:35:22.752,PERSON_DETECTED,0.808,291,0.7
2026-02-15 12:36:06.415,PERSON_GONE,0.000,293,0.3
2026-02-15 12:36:20.167,PERSON_DETECTED,0.616,299,0.3
2026-02-15 12:39:46.562,PERSON_DETECTED,0.672,2,0.4
2026-02-15 12:42:29.875,PERSON_DETECTED,0.578,20,0.8
2026-02-15 12:42:30.792,PERSON_GONE,0.000,21,0.8
2026-02-15 12:42:32.171,PERSON_DETECTED,0.460,22,0.8
2026-02-15 12:42:33.237,PERSON_GONE,0.000,23,0.8
2026-02-15 12:42:34.187,PERSON_DETECTED,0.639,24,0.8
2026-02-15 12:42:35.269,PERSON_GONE,0.000,25,0.8
2026-02-15 12:42:36.204,PERSON_DETECTED,0.607,26,0.9
2026-02-15 12:44:00.805,PERSON_DETECTED,0.476,15,0.9
2026-02-15 12:44:23.370,PERSON_GONE,0.000,17,0.4
2026-02-15 12:56:56.346,PERSON_DETECTED,0.771,377,0.8
2026-02-15 12:56:59.361,PERSON_GONE,0.000,379,0.8
2026-02-15 12:57:00.770,PERSON_DETECTED,0.755,380,0.8
2026-02-15 12:57:08.267,PERSON_GONE,0.000,387,0.9
2026-02-15 12:57:13.075,PERSON_DETECTED,0.729,391,0.9
2026-02-15 12:57:15.940,PERSON_GONE,0.000,394,0.9
2026-02-15 12:57:19.429,PERSON_DETECTED,0.610,396,0.9
2026-02-15 12:57:20.151,PERSON_GONE,0.000,397,0.9
2026-02-15 12:57:20.975,PERSON_DETECTED,0.690,398,0.9
2026-02-15 12:57:35.589,PERSON_GONE,0.000,410,0.9
2026-02-15 13:12:39.059,PERSON_DETECTED,0.502,1126,1.0
2026-02-15 13:12:40.095,PERSON_GONE,0.000,1127,1.0
2026-02-15 13:12:54.605,PERSON_DETECTED,0.476,1140,1.0
2026-02-15 13:12:55.976,PERSON_GONE,0.000,1141,1.0
2026-02-15 13:12:57.493,PERSON_DETECTED,0.531,1142,1.0
2026-02-15 13:12:58.654,PERSON_GONE,0.000,1143,1.0
2026-02-15 13:13:02.541,PERSON_DETECTED,0.496,1147,0.9
2026-02-15 13:13:03.756,PERSON_GONE,0.000,1149,0.9
2026-02-15 13:13:04.881,PERSON_DETECTED,0.790,1150,0.9
2026-02-15 13:13:06.248,PERSON_GONE,0.000,1151,0.9
2026-02-15 13:19:09.246,PERSON_DETECTED,0.489,1521,1.1
2026-02-15 13:19:10.530,PERSON_GONE,0.000,1522,1.1
